Fold,Dataset,NumFeaturesUsed,BestIteration,SelectedThreshold,ConstraintMet,ValObjective,FoldVal_Accuracy_SelectedThr,FoldVal_BalancedAccuracy_SelectedThr,FoldVal_Precision_SelectedThr,FoldVal_Recall_SelectedThr,FoldVal_F1_SelectedThr,FoldVal_Specificity_SelectedThr,Val_ROC_AUC,Val_PR_AUC,Val_TN,Val_FP,Val_FN,Val_TP,FoldTrain_Logloss,FoldVal_Logloss,FoldTrain_AUC,FoldVal_AUC,FoldTrain_Accuracy_AtThr0p50,FoldVal_Accuracy_AtThr0p50,LoglossGap,AUCGap,FitDiagnosis
1,FFT,128,738,0.7000000000000002,True,0.7735284472864403,0.7807017543859649,0.7796296296296297,0.7735849056603774,0.7592592592592593,0.7663551401869159,0.7999999999999866,0.7851851851851852,0.7773127223018922,48,12,13,41,0.11342624033824715,0.6638631816386912,0.9999999999999987,0.7851851851851852,1.0,0.5964912280701754,0.5504369413004441,0.21481481481481346,Possible overfitting
1,STFT,128,83,0.5500000000000002,True,0.7509582780480613,0.7456140350877193,0.75,0.6923076923076923,0.8333333333333334,0.7563025210084033,0.6666666666666555,0.787962962962963,0.8080920226597845,40,20,9,45,0.46022470915276265,0.6229827667217022,0.9969356261022929,0.787962962962963,0.9671361502347418,0.6754385964912281,0.16275805756893952,0.20897266313932994,Possible overfitting
1,CWT,128,87,0.5400000000000001,True,0.945382323733863,0.9473684210526315,0.9462962962962963,0.9615384615384616,0.9259259259259259,0.9433962264150944,0.9666666666666506,0.9876543209876544,0.988239247311828,58,2,4,50,0.4536873793428309,0.47078292379570374,0.9937279541446209,0.9876543209876543,0.9553990610328639,0.8771929824561403,0.01709554445287287,0.006073633156966629,Good fit
1,Balanced_COMB,208,2269,0.5000000000000002,True,0.8976732084448381,0.9122807017543859,0.9166666666666667,0.84375,1.0,0.9152542372881356,0.8333333333333194,0.9790123456790123,0.9779875340163356,50,10,0,54,0.05175327267495538,0.24293521749628047,0.9999999999999994,0.9790123456790123,1.0,0.9122807017543859,0.19118194482132508,0.020987654320987148,Good fit
2,FFT,128,16,0.5100000000000001,True,0.7774725274725275,0.7692307692307693,0.7674074074074073,0.7586206896551724,0.8148148148148148,0.7857142857142857,0.7199999999999855,0.8429629629629629,0.8392595785357934,36,14,10,44,0.6550453545400445,0.6787055601728533,0.9845959595959595,0.8429629629629629,0.944954128440367,0.6730769230769231,0.023660205632808795,0.14163299663299656,Possible overfitting
2,STFT,128,20,0.49000000000000005,True,0.8914602346805737,0.8846153846153846,0.8807407407407408,0.828125,0.9814814814814815,0.8983050847457628,0.7799999999999844,0.9722222222222222,0.9757031261078799,39,11,1,53,0.6238017997266998,0.6429999555988842,0.9963489057239057,0.9722222222222222,0.9564220183486238,0.8846153846153846,0.01919815587218443,0.024126683501683455,Good fit
2,CWT,128,235,0.7100000000000002,True,0.9417420814479638,0.9423076923076923,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,0.99999999999998,0.9566666666666667,0.9680846042897786,50,0,6,48,0.23982254342740061,0.45566856406229167,0.9981165824915825,0.9566666666666667,0.981651376146789,0.7980769230769231,0.21584602063489106,0.04144991582491586,Good fit
2,Balanced_COMB,208,859,0.7800000000000005,True,0.8550176188334051,0.8653846153846154,0.8629629629629629,0.8333333333333334,0.9259259259259259,0.8771929824561403,0.799999999999984,0.9611111111111111,0.9715979068349562,40,10,4,50,0.13970075877390284,0.4628811182504396,0.9999999999999998,0.9611111111111111,0.9977064220183486,0.7692307692307693,0.3231803594765368,0.03888888888888864,Good fit
3,FFT,128,456,0.7600000000000002,True,0.5804195804195804,0.6153846153846154,0.6222222222222222,0.7058823529411765,0.4444444444444444,0.5454545454545454,0.799999999999984,0.6196296296296295,0.709341160879871,40,10,30,24,0.20081389955364767,0.7226075277115821,0.9999158249158211,0.6196296296296296,0.9977064220183486,0.5192307692307693,0.5217936281579344,0.38028619528619145,Possible overfitting
3,STFT,128,233,0.4600000000000001,True,0.9809506531204644,0.9807692307692307,0.9814814814814814,1.0,0.9629629629629629,0.9811320754716981,0.99999999999998,0.9925925925925926,0.9941670340975896,50,0,2,52,0.26663373640314425,0.307144914123477,0.9963804713804711,0.9925925925925926,0.9839449541284404,0.9711538461538461,0.04051117772033275,0.0037878787878785625,Good fit
