Dataset,OOF_SelectedThreshold,OOF_ConstraintMet,OOF_Accuracy_SelectedThr,OOF_BalAcc_SelectedThr,OOF_Precision_SelectedThr,OOF_Recall_SelectedThr,OOF_F1_SelectedThr,OOF_Specificity_SelectedThr,OOF_ROC_AUC,OOF_PR_AUC,OOF_TN,OOF_FP,OOF_FN,OOF_TP
FFT,0.5100000000000001,True,0.662962962962963,0.662962962962963,0.6358024691358025,0.762962962962963,0.6936026936026936,0.5629629629629608,0.6746227709190672,0.6602477695341016,152,118,64,206
STFT,0.5000000000000001,True,0.8703703703703703,0.8703703703703703,0.8424657534246576,0.9111111111111111,0.8754448398576512,0.8296296296296265,0.9221124828532237,0.9225437623263613,224,46,24,246
CWT,0.5400000000000001,True,0.8981481481481481,0.8981481481481481,0.8853046594982079,0.9148148148148149,0.8998178506375227,0.8814814814814781,0.9280521262002744,0.9208682992391617,238,32,23,247
Balanced_COMB,0.7900000000000005,True,0.9351851851851852,0.9351851851851851,0.9272727272727272,0.9444444444444444,0.9357798165137615,0.9259259259259224,0.9881344307270232,0.9891065236037468,250,20,15,255
