Dataset,WinCount,MeanBestIteration,CVMean_FoldVal_Accuracy_SelectedThr,CVStd_FoldVal_Accuracy_SelectedThr,CVMean_FoldVal_BalAcc_SelectedThr,CVStd_FoldVal_BalAcc_SelectedThr,CVMean_FoldVal_Precision_SelectedThr,CVStd_FoldVal_Precision_SelectedThr,CVMean_FoldVal_Recall_SelectedThr,CVStd_FoldVal_Recall_SelectedThr,CVMean_FoldVal_F1_SelectedThr,CVStd_FoldVal_F1_SelectedThr,CVMean_FoldVal_Specificity_SelectedThr,CVStd_FoldVal_Specificity_SelectedThr,CV_ROC_AUC_Mean,CV_ROC_AUC_Std,CV_PR_AUC_Mean,CV_PR_AUC_Std
FFT,0,260.6,0.7492240215924426,0.08984116817243439,0.7522592592592592,0.08722796238090644,0.7971578195364027,0.08466929715388682,0.6851851851851851,0.20243713989884674,0.7215551007602637,0.12373266891572976,0.8193333333333179,0.08719072325782079,0.7816172839506172,0.09828531450992976,0.7961757168064609,0.05497458834702039
STFT,0,190.2,0.8939608636977059,0.09947315463256366,0.8926666666666666,0.09855659247579003,0.9004501748251748,0.13692635966891398,0.9,0.11900940009673798,0.8930550093437228,0.09874069153162102,0.8853333333333167,0.15343474907015434,0.9375308641975308,0.08734311604667987,0.9437449032568266,0.07927634409617094
CWT,3,302.4,0.9477732793522268,0.049895551791816845,0.9485555555555555,0.04870377411627076,0.9526057549008369,0.07598838134132252,0.9444444444444444,0.04536092116265147,0.9471235616151009,0.04967230239650564,0.9526666666666488,0.07733045971672224,0.9783086419753086,0.024814876236027433,0.9818999704019855,0.020684168871681
Balanced_COMB,2,3974.4,0.9501012145748987,0.05866595213162261,0.9505555555555556,0.05893865821427193,0.931712962962963,0.08546809151579633,0.9777777777777779,0.03042903097250923,0.9529165813666467,0.05387356890341397,0.923333333333316,0.09831920802501544,0.9870246913580246,0.01682709708963354,0.9890186337641786,0.013282108981914564
