Dataset,CV_SelectedThr_Accuracy,CV_SelectedThr_BalancedAccuracy,CV_SelectedThr_Precision,CV_SelectedThr_Recall,CV_SelectedThr_Specificity,CV_SelectedThr_F1,CV_SelectedThr_TN,CV_SelectedThr_FP,CV_SelectedThr_FN,CV_SelectedThr_TP,CV_SelectedThr_TotalErrors
FFT,0.7518518518518519,0.751851851851849,0.7905982905982872,0.6851851851851826,0.8185185185185154,0.7341269841264837,221,49,85,185,134
STFT,0.8907407407407407,0.8907407407407373,0.8836363636363603,0.8999999999999966,0.8814814814814781,0.8917431192655516,238,32,27,243,59
CWT,0.9462962962962963,0.9462962962962926,0.9479553903345689,0.9444444444444409,0.9481481481481445,0.9461966604818712,256,14,15,255,29
Balanced_COMB,0.95,0.9499999999999964,0.9263157894736809,0.9777777777777741,0.9222222222222187,0.9513513513508481,249,21,6,264,27
